"Timepoint","Habitat","TPM"
1,"Freshwater",20.85607033
2,"Freshwater",51.966071235
3,"Freshwater",3.803637
5,"Freshwater",16.457639449
5.5,"Freshwater",6.366762035
6,"Freshwater",18.665814209
7,"Freshwater",55.261703973
8,"Freshwater",40.793313829
9,"Freshwater",34.736506738
10,"Freshwater",20.351621364
11,"Freshwater",3.032847364
12,"Freshwater",18.11110128
12.5,"Freshwater",3.444874623
13,"Freshwater",32.526471597
13.5,"Freshwater",1.309882711
1,"Marine",52.611114569
2,"Marine",74.079046104
3,"Marine",29.178674834
5,"Marine",20.989983767
5.5,"Marine",16.389860475
6,"Marine",22.775706945
7,"Marine",35.453985747
8,"Marine",47.204476137
9,"Marine",29.878663223
10,"Marine",16.574843949
11,"Marine",41.371944697
12,"Marine",50.756206951
12.5,"Marine",35.639418192
13,"Marine",65.514589002
13.5,"Marine",27.200550778
1,"Soil",28.807627818
2,"Soil",49.91087161
3,"Soil",33.720942186
5,"Soil",65.594247212
5.5,"Soil",51.243728549
6,"Soil",74.31270468
7,"Soil",139.782769785
8,"Soil",87.308841722
9,"Soil",82.168637928
10,"Soil",48.26751882
11,"Soil",38.664217015
12,"Soil",53.643846894
12.5,"Soil",35.352104659
13,"Soil",71.959458847
13.5,"Soil",43.145319033
